id_uniq;categoria;peso;altura;descricao
pk_0001;Semente;6,9;0,7;Desde o dia em que nasceu possui uma semente estranha plantada em suas costas. O bulbo em suas costas está cheio de nutrientes. Nele, Bulbasaur armazena suas energias. O bulbo vai crescendo à medida que envelhece porque ele absorve os raios de sol.
pk_0002;Semente;13;1;A exposição à luz solar aumenta sua força. A luz do sol fará a flor em suas costas crescer. Conforme Ivysaur for crescendo, essa flor irá desabrochar. Ela irá soltar um doce aroma quando florescer. Quando o bulbo em sua parte traseira fica grande, parece perder a capacidade de ficar em pé sobre as patas traseiras.
pk_0005;Semente;;24;Na batalha, este pokémon gira em torno de duas vinhas grossas. Se essas vinhas baterem em um prédio de 10 andares, elas podem facilmente derrubá-lo. O poder da forma Gigantamax fez com que a flor do Venusaur crescesse tanto que agora cobre todo o corpo deste pokémon. As pétalas da flor são extremamente espessas e suficientemente elásticas para repelir golpes desanimados. Durante a batalha, ele utiliza essas pétalas como um escudo e balança as suas duas vinhas espessas para atacar o seu alvo. A flor nas costas do pokémon liberta tanto pólen que se assemelha a uma erupção vulcânica. Inalar o pólen pode causar ataques de espirros incontroláveis e respirar uma quantidade excessiva pode até mesmo causar desmaios. Contudo, o pólen também estimula o crescimento das plantas. Dizem que os locais onde o pólen cai ficam repletos de enormes plantas.
pk_0003;Semente;100;2;A luz solar que a flor de suas costas absorve produz energia para seu corpo. Por esta razão, ele fica mais forte no verão. O aroma dessa flor pode acalmar as emoções das pessoas. Depois de um dia chuvoso, a flor nas costas tem um cheiro mais forte. O cheiro atrai outros pokémons.
pk_0004;Semente;155,5;2,4;Quando Venusaur se torna Mega Venusaur, a flor que está em suas costas cresce de forma ainda mais fantástica do que antes. As pernas e o corpo do pokémon ficam mais resistentes para suportar o peso da flor gigante.
pk_0006;Lagarto;8,5;0,6;A chama que possui na ponta de seu rabo mostra a força de sua vida. Se ele estiver fraco, a chama irá diminuir. Quando está saudável, a chama brilhará intensamente. Tem preferência por coisas quentes. Quando chove, diz-se que o vapor jorra da ponta da cauda. Sua vida acabaria se essa chama se apagasse.
pk_0007;Chama;19;1,1;Gosta muito de brigas, por isso busca constantemente por adversários. Ele ataca com suas garras afiadas e usando sua cauda como chicote de fogo. Pode soltar chamas azuis quando muito animado. Quando ele balança sua cauda em chamas, ele eleva a temperatura do ar a níveis insuportavelmente altos. Nas montanhas rochosas onde vive Charmeleon, suas caudas de fogo brilham à noite como estrelas.
pk_0011;Chama;;28;Esta figura colossal com asas de fogo de um Charizard foi produzida pela energia Gigantamax. A chama dentro de seu corpo queima mais de 2.000° C. Quando Charizard ruge, a temperatura sobe ainda mais. As chamas dentro do seu corpo tornaram-se mais fortes e, agora, solta fogo pela boca, pelos chifres e para além da cauda. Parece que a força das chamas aumenta quando o Charizard ruge. As chamas do Charizard tornaram-se mais fortes com o poder Gigantamax e, agora, formam asas nas suas costas. Essas asas são mais quentes que magma e Charizard pode utilizá-las para queimar os seus oponentes!
pk_0008;Chama;90,5;1,7;Seu fogo é quente o suficiente para derreter rochas. Quando nervoso, a chama em sua cauda queimará intensamente. É orgulhoso e voa pelos céus em busca de adversários poderosos. Suas asas podem transportar este pokémon até uma altitude de 1.400 metros. Expele fogo em temperaturas muito altas.
pk_0009;Chama;110,5;1,7;Charizard, ao mega evoluir para Mega Charizard X, torna-se do tipo fogo/dragão. Ele ganha um poder esmagador que preenche todo o seu corpo com esta transformação. Esse poder fez seu corpo ficar preto e as suas chamas tornam-se azuis e mais quentes.
pk_0010;Chama;110,5;1,7;O Mega Charizard Y está a um nível inigualável em termos de capacidade de voo, podendo atingir uma altura incrível. Quando Charizard mega evolui para esta forma, suas asas tornam-se bem maiores. Seu vínculo com seu treinador é a fonte de seu poder. Possui velocidade e capacidade de manobra maiores do que a de um caça a jato.
pk_0012;Mini Tartaruga;9;0,5;Quando nasce, seu casco é mole, mas logo endurece. Cutucando com o dedo fará os pedaços de seu casco saltar. Ele entra dentro do casco quando se sente ameaçado. Esguicha água com uma força vigorosa para atacar. A forma arredondada do casco e as ranhuras em sua superfície ajudam a minimizar a resistência na água, permitindo-o nadar em alta velocidade.
pk_0013;Tartaruga;22,5;1;É muito inteligente, sabe controlar as orelhas e o rabo para manter o equilíbrio na água e nadar em altas velocidades. Seu rabo felpudo é símbolo de longevidade. Se seu casco tiver algas, este Wartortle é muito velho. Os arranhões em seu casco são evidências da resistência deste pokémon como lutador.
pk_0016;Tartaruga;;25;Não é muito bom em tiro de precisão. Ao atacar, ele apenas dispara seus 31 canhões sem parar. A água disparada do canhão principal central deste pokémon tem energia suficiente para abrir um buraco em uma montanha. A carapaça do Blastoise cresceu para acompanhar o seu corpo e tem também novos canhões de grandes dimensões. O Blastoise Gigantamax pode adaptar-se a várias situações, utilizando múltiplas combinações com os seus 31 canhões de diferentes tamanhos. Nas batalhas, não se preocupa em fazer pontaria. Em vez disso, dispara torrentes de água potentes e dinâmicas de vários canhões para deixar os oponentes sem escapatória. O canhão principal no centro do casco do Blastoise é surpreendentemente poderoso. Diz a lenda que este canhão já abriu buracos nas montanhas. Ele também consegue mover os 12 canhões grandes que cercam o canhão central de forma independente, permitindo-lhe direcionar os seus ataques em qualquer direção, seja no solo ou no ar.
pk_0014;Crustáceo;85,5;1,6;O casco em suas costas possuem canhões que jorram água pressurizada forte o suficiente para perfurar uma parede de concreto. Eles podem disparar balas de água com precisão suficiente para atingir latas vazias a uma distância de mais de 50 metros. Também usa o seu casco pesado para atacar e esmagar seus oponentes.
pk_0015;Crustáceo;101,1;1,6;As duas bazucas nos ombros do Blastoise transformam-se num único e grande canhão quando mega evolui para Mega Blastoise. Este canhão dispõe de um alcance tão grande que consegue atingir alvos a mais de dez quilômetros de distância! O canhão em suas costas é tão poderoso quanto um canhão de um tanque de guerra. Suas pernas e costas resistentes permitem que ele resista ao recuo do disparo do canhão.
pk_0017;Verme;2,9;0,3;Como forma de proteção, Caterpie libera um cheiro horrível através de suas antenas. Suas patas pegajosas são capazes de andar em qualquer tipo de superfície. Seu corpo é macio e fraco. Na natureza, é visto como alimento para vários pokémons pássaros. É fácil de capturar e cresce rapidamente, tornando-se uma das principais recomendações para treinadores novatos.
pk_0018;Casulo;9,9;0,7;Este pokémon é totalmente vulnerável a ataques enquanto seu casulo é mole, correndo risco de expor seu corpo frágil e sensível. Por isso, fica endurecendo o seu casulo para se proteger. Batalhas intensas com ele devem ser evitadas. Seu casulo é preenchido com um líquido espesso. Todas as células de seu corpo estão sendo reconstruídas em preparação para a evolução.
pk_0020;Borboleta;;17;A energia cristalizada do Gigantamax compõe as escamas incrivelmente brilhantes e altamente tóxicas deste pokémon. Depois de ter oponentes presos em um tornado que poderia derrubar um caminhão de 10 toneladas, ele os derrota com suas escamas venenosas. A sua característica mais notável são as asas ofuscantes, que cresceram em proporções gigantescas. A luz das suas asas provém das escamas, que podem provocar paralisia, envenenamento ou sono nos seus adversários. Essas escamas são as armas mais eficazes do Butterfree! As grandes asas dele podem criar um vento com força suficiente para levantar um caminhão de 10 toneladas, simplesmente batendo as asas. Este vento também espalha escamas venenosas na área, sendo muito perigoso estar perto deste pokémon.
pk_0019;Borboleta;32;1,1;Gosta de coletar mel das plantas. Suas asas batem tão rapidamente que acaba deixando um rastro de poeira tóxica pelo ar. As asas resistem a água, permitindo-o voar em fortes chuvas. Coleta mel todos os dias e o leva para seu ninho. Um exame atento de seus olhos grandes revela que cada olho é composto por uma miríade de olhos minúsculos.
pk_0021;Peludo;3,2;0,3;É frequentemente encontrado em florestas, comendo folhas. Em sua cabeça existe um ferrão afiado e venenoso. Qualquer um pode se machucar com ele se não tomar cuidado onde pisa. Seu corpo de cores vivas tem o objetivo de alertar seus inimigos. Weedle tem um olfato extremamente aguçado. Ele é capaz de distinguir seus tipos favoritos de folhas daqueles de que não gosta apenas farejando.
pk_0022;Casulo;10;0,6;Enquanto aguarda sua evolução, os Kakunas vivem agarrados em árvores para se esconder dos predadores. Embora ainda seja um casulo, consegue se mexer um pouco. Quando em perigo, pode esticar o ferrão e envenenar o inimigo. Na maioria dos casos, só consegue endurecer seu casulo para se proteger.
pk_0024;Abelha Venenosa;40,5;1,4;Suas pernas se transformaram em ferrões venenosos. Ele esfaqueia sua presa repetidamente com os ferrões em seus membros, desferindo o golpe final com o ferrão de sua cauda. O veneno que produz pelos seus quatro membros atua todo de imediato, mas o veneno que emite da cauda é de ação lenta. Utiliza o primeiro para impedir que os inimigos fujam e o segundo para dar o golpe final.
pk_0023;Abelha Venenosa;29,5;1;Possui dois grandes ferrões nos braços e um em seu rabo. O ferrão de seu rabo é o mais venenoso. Costumam voar em altas velocidades e atacar em enxame. É extremamente territorial. Ninguém deve se aproximar de seu ninho. Se irritados, eles atacarão furiosos e repetidamente.
pk_0025;Mini Pássaro;1,8;0,3;Não gosta muito de lutar. Em vez disso, prefere bater as asas próximo ao chão para levantar uma poeira de areia e com isso afastar o inimigo. Possui um ótimo senso de direção. É capaz de retornar infalivelmente para seu ninho, por mais distante que possa ser removido de seu ambiente familiar. É comum de ser encontrado em florestas e bosques.
pk_0026;Pássaro;30;1,1;Ele é muito protetor de seu território, sempre irá atacar brutalmente qualquer intruso. Possui uma ótima visão, mesmo voando bem alto irá localizar sua presa. Suas garras afiadas e bastante desenvolvidas são a sua arma de ataque. Ele pode carregar presas como um Exeggcute para seu ninho a mais de 100 km de distância.
pk_0028;Pássaro;50,5;2,2;As rajadas de vento que produz com as suas asas robustas e bastante desenvolvidas são fortes o suficiente para destruir árvores enormes. Os minerais presentes nas penas do Pidgeot mudam, resultando também numa alteração da sua coloração. Com sua força muscular agora bastante aumentada, ele pode voar continuamente por duas semanas sem descansar.
pk_0027;Pássaro;39,5;1,5;É capaz de voar numa velocidade Mach 2. Suas grandes garras são temidas como armas perversas. Ele desliza pela superfície da água em alta velocidade para pegar presas desavisadas como o Magikarp. Com seus músculos bem desenvolvidos, consegue fazer fortes furacões capazes de derrubar árvores ao bater suas asas. Possui uma plumagem deslumbrante de penas lindamente brilhantes.
pk_0030;Rato;3,8;0,3;Ao contrário dos Rattatas comuns, o principal habitat do Rattata Alolano são as áreas urbanas. Eles são noturnos e vivem em ninhos com dezenas deles. O Rattata de Alola tem uma excelente aptidão para farejar deliciosos alimentos frescos em Alola. Eles não prestam atenção em alimentos que não são frescos. O Raticate Alolano serve como o seu chefe. Foi por conta de um grande crescimento na população de Rattatas em Alola que o pokémon Yungoos foi trazido para esta região. Como forma de se defender dos Yungoos, os Rattatas de Alola assumiram essa nova forma.
pk_0029;Rato;3,5;0,3;Morde qualquer coisa quando está atacando. Vive procurando objetos duros para roer. Com sua forte capacidade de sobrevivência, eles podem viver em lugares sujos sem preocupação. Se reproduzem muito depressa, podem virar uma praga nas cidades. Seus dentes crescem continuamente até sua morte. Se crescerem demais, não conseguem comer e morrem de fome.
pk_0032;Rato;25,5;0,7;Como as áreas urbanas são o seu principal habitat, a sua dieta é mais calórica do que a dos Raticate comuns. Por conta disso, eles se tornaram mais robustos. Os Raticates Alolanos preferem comer apenas frutas frescas e ingredientes de alta qualidade. Existem rumores de que um certo restaurante de luxo se aproveita das papilas gustativas do Raticate de Alola, levando-o consigo sempre que necessitam comprar ingredientes, fazendo-o provar novos pratos. Os Raticates Alolanos armazenam constantemente enormes quantidades de comida nos seus ninhos. Eles preferem enviar os Rattata Alolanos em busca de comida, enquanto eles próprios permanecem nos seus ninhos apenas para comer. Cada Raticate Alolano tem o seu próprio grupo de Rattatas Alolanos, disputas por alimentos acontecem com frequência entre eles.
pk_0031;Rato;18,5;0,7;Para assustar os adversários, ele posiciona-se de pé e mostra as presas de sua boca. Seus dentes são fortes, capazes até mesmo de roer uma parede de concreto. Suas patas traseiras são palmadas, então é um nadador forte. Pode atravessar rios e às vezes até oceanos. Não importa o quão amigável você seja, ele ficará zangado e o morderá se você tocar em seus bigodes.
pk_0033;Mini Pássaro;2;0,3;Ele bate suas asas sobre a grama para encontrar insetos. Quando encontra, puxa-os do chão com o seu bico. Fazendeiros cujos campos são afetados por insetos apreciam Spearow pelo seu apetite por inseto. Suas asas são curtas, por isso não pode voar por longas distâncias. Sua natureza imprudente o fará enfrentar os outros, mesmo pokémons maiores, se tiver que proteger seu território. Seu grito pode ser ouvido a 1 km de distância.
pk_0034;Bico;38;1,2;Fearow é famoso por seu pescoço longo e bico comprido. Eles foram desenvolvidos especialmente para ajudá-lo a apanhar presas no solo ou na água. Adora comer pokémons peixes. Consegue manter-se voando no céu por bastante tempo sem pousar. Carregar comida pelo território de Fearow é perigoso. Ele vai tirar a comida de você!
pk_0035;Serpente;6,9;2;Rasteja silenciosamente pelo chão. Anda pela grama sem fazer barulho e atinge uma presa desavisada por trás. Alimenta-se de ovos nos ninhos de pokémons pássaros. Ele sente o cheiro com sua língua. Suas mandíbulas são capazes de devorar seres bem maiores que ele. Depois de uma refeição, ele se enrola e descansa.
pk_0036;Cobra;65;3,5;As marcas no pescoço de Arbok podem ser diferentes de região para região. Elas indicam o quão venenoso este pokémon é. Inimigos fracos fugirão apenas ao ver essas marcas. Ele também pode sufocar suas vítimas enrolando-se em torno delas. Sua força ao enrolar pode espremer tambores de aço.
pk_0038;Rato;;21;Seu poder Gigantamax se expandiu, formando seu corpo superdimensionado e cauda imponente. Quando ele esmaga seus oponentes com sua cauda em forma de raio, ele fornece uma onda de eletricidade equivalente a um relâmpago. Toda a eletricidade que produz nas bolsas que tem nas bochechas é armazenada na cauda. Em batalha, ataca os adversários com a sua cauda, atravessando-os com raio elétrico tão poderoso como um relâmpago! Tornou-se tão poderoso que agora consegue produzir tanta eletricidade como uma usina elétrica! No entanto, parece difícil utilizar essa eletricidade para abastecer casas, uma vez que o Pikachu apenas consegue ficar na forma Gigantamax por pouco tempo.
pk_0037;Rato;6;0,4;Para ter uma melhor percepção de tudo o que está em sua volta, mantém o seu rabo levantado. Ele armazena energia elétrica dentro de suas bochechas vermelhas. Quando dois deles se encontram, eles tocam suas caudas e trocam eletricidade através deles como uma forma de saudação. As florestas onde vivem Pikachu são perigosas, pois as árvores são frequentemente atingidas por raios.
pk_0040;Rato;21;0,7;Os Raichus de Alola possuem dois tipos – elétrico e psíquico – e são capazes de exercerem poderes psíquicos. Além disso, eles podem reunir seus poderes psíquicos em suas caudas e ficar sobre elas flutuando no ar! Pesquisadores acreditam que foi sua alimentação que ocasionou sua mudança de forma na região de Alola. O Raichu possui bolsas elétricas nas bochechas e, ao esfregá-las, libera um aroma doce. Não se sabe como funciona o mecanismo que causa esta liberação, mas acredita-se que possua alguma relação com os poderes psíquicos do Raichu Alolano.
pk_0039;Rato;30;0,8;Pode tornar-se agressivo caso acumule muita eletricidade no corpo. Pode dar choques de até dez mil volts. Ele mantém o seu longo rabo no solo para controlar seus raios elétricos e descarregar eletricidade. Se suas bolsas elétricas ficarem vazias, ele levanta a cauda para coletar eletricidade da atmosfera. Ele pode brilhar no escuro.
pk_0042;Rato;40;0,7;Historicamente, os Sandshrew viviam em áreas de deserto. Mas as frequentes erupções vulcânicas nas proximidades levaram os Sandshrew a sair do deserto e a migrar para as montanhas nevadas, onde assumiram esta forma. O corpo de Sandshrew mudou para se adaptar ao ambiente hostil das montanhas nevadas. A pele do Shandshrew Alolanos está coberta por uma carapaça de gelo, dura como aço. Defensivamente é excelente, mas falta-lhe flexibilidade e não pode enrolar o corpo como uma bola, como um Sandshrew tipo terra pode fazer. O seu grande peso torna o Sandshrew de Alola mais lento que um Sandshrew normal, mas as garras dos seus pés e mãos permitem-lhe deslocar-se no gelo sem escorregar. Quando quer deslocar-se rapidamente, utiliza o estômago para deslizar sobre o gelo como uma pedra ondulando.
pk_0041;Rato;12;0,6;Faz sua toca no subterrâneo, longe de água. Geralmente sai apenas para caçar. Se ele cair de uma grande altura, consegue se salvar enrolando o corpo e rolando como uma bola. Ele adora banhar-se na areia de áreas secas e arenosas. fazendo isso, se livra da sujeira e da umidade presa em seu corpo. Ele se enterra no solo para criar seu ninho. Se pedras duras impedem sua escavação, ele usa suas garras afiadas para espalhá-los.
pk_0044;Rato;55;1,2;Os Sandshrew Alolanos das montanhas nevadas evoluem para os Sandslash Alolanos, com costas espinhosas e cobertas de gelo. Graças ao seu revestimento de gelo, estes espinhos são grandes e afiados. Muitas vezes esses espinhos se quebram, mas voltam a crescer no dia seguinte. Os Sandslash Alolanos escondem-se na neve quando surgem inimigos poderosos, deixando apenas os seus espinhos expostos e prontos para entrar em ação. Eles podem escalar árvore e enrolar o corpo numa bola espinhosa, pronta para cair em qualquer presa que aparecer. O peso do gelo que cobre o seu corpo tornam os Sandslash de Alola mais pesados e lentos que os Sandslash normais. No entanto, em campos de neve e no gelo, eles se movem abrindo caminho com as suas garras, o que permite que se movam com rapidez. As nuvens de neve criadas pelos movimentos do Sandslash de Alola são tão belas que muitos fotógrafos vão até os picos nevados para fotografar o momento. Entretanto, esses Sandslash vivem nas profundezas das montanhas e há o grande perigo de alguém se perder, por isso é proibido escalar as montanhas sem autorização.
pk_0043;Rato;29,5;1;Suas costas possuem espinhos muito duros, usados como sua defesa. É habilidoso para fazer arranhões com suas garras. Se as garras ou espinhos quebrarem, irão crescer de novo em um dia. Ele usa suas garras para escalar árvores e então enrola seu corpo em uma bola espinhosa, pronta para cair sobre qualquer presa que apareça.
pk_0045;Agulha Venenosa;7;0,4;As fêmeas de Nidoran possuem chifres menores. Embora pequena, deve se ter muito cuidado com os espinhos venenosos de seu corpo. Ela não gosta muito de lutar. As fêmeas são mais sensíveis a cheiros do que os machos. Usam seus bigodes para verificar a direção do vento e ficar a favor dos predadores. Ela usa seus dentes incisivos duros para esmagar e comer frutas. Se enfurecida, libera uma toxina horrível de seu chifre.
pk_0046;Agulha Venenosa;20;0,8;O chifre em sua cabeça desenvolve-se lentamente. Ela prefere golpear com ataque físicos, como mordidas e arranhões. É dócil, mas não hesita em atacar quando perturbada. Emite gritos ultrassônicos que têm o poder de confundir os inimigos. Se o grupo for ameaçado, se unem para atacar o inimigo. O chifre em sua cabeça atrofiou. Pensa-se que isso aconteça para que os filhotes de Nidorina não sejam cutucados enquanto a mãe os estiver alimentando.
pk_0047;Broca;60;1,3;Duras escamas crescem no corpo robusto deste pokémon. Isso lhe permite realizar movimentos brutais. É perito em enviar inimigos voando com ataques violentos. Ela defende a sua cria com sua própria vida. É melhor na defesa do que no ataque. Ela acalma a sua prole, colocando-os nas lacunas entre os espinhos em suas costas. Os espinhos nunca secretarão veneno enquanto os pequenos estiverem presentes.
pk_0048;Agulha Venenosa;9;0,5;Ele endurece suas orelhas para sentir o perigo. Com elas, examina os arredores e consegue escutar o mais leve dos sons. As orelhas podem ser movidas livremente em qualquer direção. Quanto maior for o seu chifre, mais venenoso ele será. Pequeno mas corajoso, irá manter-se firme e até arriscar a sua vida na batalha para proteger a fêmea de quem é amigo.
pk_0049;Agulha Venenosa;19,5;0,9;Possui um chifre mais duro que diamante. Sai por aí quebrando pedras enquanto procura uma pedra da lua. Caso ele sinta alguma presença hostil, todas as farpas de suas costas irão erguer-se de uma só vez. Suas picadas podem ser fatais. A potência de seu veneno aumenta junto com o nível de adrenalina presente em seu corpo.
pk_0050;Broca;62;1,4;Utiliza-se de sua cauda poderosa para bater e enrolar seus oponentes. Combates corpo a corpo são a sua especialidade. Com um golpe, ele pode derrubar uma torre de transmissão de metal. Seu chifre é capaz de perfurar diamantes. É reconhecido por sua pele dura como pedra e seu chifre alongado. Quando faz um alvoroço, é impossível controlar. Se acalma na presença de uma Nidoqueen com quem vive há muito tempo.
pk_0051;Fada;7,5;0,6;A luz lunar que pode absorver com suas asas aparentemente lhe dá a capacidade de voar. Raramente é encontrado, vive em locais específicos. Costumam sair de seus esconderijos em noites de lua cheia para dançar. Dizem que a felicidade virá para aqueles que virem um grupo de Clefairy dançando sob a lua cheia. Seu comportamento e aparência adoráveis o tornam popular entre homens e mulheres, jovens e idosos.
pk_0052;Fada;40;1,3;Um pokémon muito tímido, foge sempre que percebe estar sendo observado. Ele dá leves saltos para se locomover, permitindo-o passear sobre lagos em noites de luar. Seus ouvidos são sensíveis o suficiente para ouvir o barulho de um alfinete caindo a 1 km de distância. Vivem em locais silenciosos, como montanhas. As pessoas que vêem um par de Clefable passando podem esperar um casamento feliz.
pk_0054;Raposa;9,9;0,6;Diz-se que o Vulpix veio para a região de Alola juntamente com os humanos, mas eles foram para as montanhas de picos nevados, de modo a evitar os habitats normais dos outros pokémons, acabando por assumir esta forma. Esses Vulpix Alolanos vivem nas altas montanhas que permanecem cobertas de neve durante todo o ano. Eles vivem em pequenos bandos formados de 2 a 5 membros, ajudando-se uns aos outros a sobreviver. Os Vulpix de Alola podem congelar qualquer coisa sólida, expelindo de sua boca um ar de uma temperatura de -50°C. Eles não se adaptam bem ao calor, mas quando a temperatura sobe muito, podem produzir gelo a partir da sua cauda, para baixar a temperatura ao redor. As pessoas mais velhas de Alola chamam este pokémon pelo seu antigo nome: Keokeo.
pk_0053;Raposa;9,9;0,6;Quando nasce, possui apenas um rabo. Ele vai se dividindo conforme for envelhecendo. Conforme cada rabo cresce, seu pelo se torna mais lustroso. Astuto, para fugir do perigo, finge estar debilitado e engana o adversário. Dentro do corpo de Vulpix queima uma chama que nunca se apaga. Eles expelem chamas que se assemelham aos espíritos dos mortos. Algumas pessoas pensam que este fogo é um fantasma.
pk_0056;Raposa;19,9;1,1;Os Ninetales Alolanos vivem em um pico nevado que é venerado como uma montanha sagrada na região de Alola. São tratados como emissários sagrados e as pessoas encaram-nos com medo e temor. A personalidade desse pokémon é extremamente delicada, e às vezes ele tem ajudado os seres humanos que parecem estar em perigo. Contudo, não tem qualquer piedade para com o que quer que seja que se atreva a danificar o seu território! Os Ninetales de Alola são capazes de produzir cristais de gelo a partir da pele que cobre o seu corpo. Ele pode usar esses cristais de gelo para bloquear os ataques, ou pode formar bolas de gelo com eles, que dispara como balas contra os adversários. O poder desses mísseis de gelo é grande o suficiente para pulverizar rochas!
pk_0055;Raposa;19,9;1,1;É extremamente vingativo. Dizem que cairá uma maldição de mil anos sobre aquele que puxar uma de suas caudas por brincadeira. Acredita-se que cada uma de suas nove caudas possui um poder místico especial. Diz a lenda que este pokémon místico foi formado quando nove santos se uniram em um. As chamas que solta de sua boca deixam seus oponentes hipnotizados. Então, aproveita para atacar. A vida de Ninetales dura mil anos.
pk_0057;Balão;5,5;0,5;Seus grandes olhos são usados para encantar o inimigo. Depois, canta uma bela melodia que coloca o adversário para dormir. Ele pode inflar o corpo como um balão e sair flutuando. Possui um alcance vocal que ultrapassa 12 oitavas, mas a habilidade de canto de cada indivíduo depende de seu próprio esforço. Tem uma capacidade pulmonar excelente. Gravações das canções de ninar de Jigglypuff podem ser compradas em lojas de departamentos.
pk_0058;Balão;12;1;Sua pele é macia e seu corpo é bastante flexível. Quando está com raiva, consegue inalar o ar repetidas vezes, inflando seu corpo cada vez mais. Faz isso para intimidar os inimigos. Às vezes, eles podem crescer 20 vezes o seu tamanho! Seu pelo é fino e delicado. A mecha em sua testa tem uma textura celestial. Ele perde seu pelo fino quando as estações mudam. Seus olhos, cobertos por uma fina camada de lágrimas, repelem a poeira.
pk_0059;Morcego;7,5;0,8;Sua audição é bem apurada. Para identificar aquilo que estiver em seu caminho, Zubat solta de sua boca ondas ultrassônicas. Isso lhe permite voar com segurança mesmo em locais escuros. De manhã, eles se reúnem em cavernas para se aquecerem enquanto dormem. Quando expostos ao sol, sofrem queimaduras. A frequência de suas ondas ultrassônicas pode variar ligeiramente de colônia para colônia.
pk_0060;Morcego;55;1,6;Com os dentes bastante afiados, morde suas vítimas para sugar o sangue. Ele não irá parar de drenar a energia da vítima até estar satisfeito. Se chupa muito sangue, fica pesado e voa desajeitadamente. Dizem que, se encontrar um dos seus passando fome, compartilha o sangue que coletou. Eles podem sugar mais de 300 gramas de sangue de uma só vez. Seus dentes são ocos como canudos, tornando-os inesperadamente frágeis
pk_0061;Erva Daninha;5,4;0,5;Durante o dia costuma ficar enterrado no chão, deixando apenas as suas folhas expostas. Ele irá berrar caso alguém tente arrancá-lo de lá. Quanto mais fértil o solo, mais brilhantes se tornam suas folhas. À noite sai para espalhar suas sementes. Dizem que caminha por 300 metros fazendo isso. Ele cresce ao se banhar ao luar.
pk_0062;Erva Daninha;8,6;0,8;O fedor proveniente da flor de sua cabeça pode ser sentido à distância. Pode causar desmaios a 2 km. Ele fede mais ainda quando se sente ameaçado. Uma a cada mil pessoas irá gostar do seu cheiro. Se estiver calmo e seguro, não vai liberar seu aroma fedorento. A baba que escorre de sua boca na verdade é um néctar pegajoso.
pk_0063;Flor;18,6;1,2;Quanto maiores forem as suas pétalas, mais tóxico será o pólen contido nelas. Elas são tão pesadas que é difícil para ele aguentar. Ao sacudir as pétalas, o ar ao seu redor fica amarelo. Dizem que possui as maiores pétalas do mundo. O pólen tóxico de Vileplume desencadeia ataques de alergia atrozes. É aconselhável nunca se aproximar de flores atraentes na selva, por mais bonitas que sejam.
pk_0064;Cogumelo;5,4;0,3;Paras se enterra sob o solo para roer as raízes das árvores. Cogumelos parasita chamados tochukaso crescem nas costas de Paras. Não importa o quanto Paras coma, os cogumleos absorvem nutrientes deste hospedeiro. São altamente valorizados como remédios para prolongar a vida.
